tbl,idx,stat
race_jikkyo_message,race_jikkyo_message_0_group_id,3249 3
race_instance,race_instance_0_race_id,3380 2
heroes_data,,15
collect_event_map_master,,1
note_profile,note_profile_0_chara_id,150 2
single_mode_14_region_feeling,single_mode_14_region_feeling_0_region_select_type,60 20
single_mode_14_region_feeling,single_mode_14_region_feeling_0_region_id,60 3
single_mode_10_masterly,single_mode_10_masterly_0_legend_id,3 1
single_mode_cook_listener,single_mode_cook_listener_0_camera,6 1
single_mode_sport_stance_effect,,8
single_mode_hint_gain,single_mode_hint_gain_0_hint_id,4919 38
single_mode_training_plate,single_mode_training_plate_0_scenario_id,4 4
single_mode_outing_set,,4
succession_initial_factor,succession_initial_factor_0_factor_type,13 5
succession_initial_factor,succession_initial_factor_0_factor_type_1_value_1,13 5 2
collect_raid_mission,collect_raid_mission_0_mission_data_id,18 1
circle_rank_data,,11
story_extra_story_data,story_extra_story_data_0_story_extra_id,45 4
single_mode_13_bc_program_flag,single_mode_13_bc_program_flag_0_bc_group_id,18 2
single_mode_13_bc_program_flag,single_mode_13_bc_program_flag_0_program_id,18 1
single_mode_12_assistant_effect,,7
single_mode_11_check_point_eff,single_mode_11_check_point_eff_0_check_point_type_1_result_state,38 8 4
single_mode_10_9047_reward,,12
single_mode_conclusion_set,single_mode_conclusion_set_0_story_id,1734 1
single_mode_event_production,,143
single_mode_evaluation,single_mode_evaluation_0_chara_id,40 4
paid_gacha_button_type,,2
daily_race,daily_race_0_race_instance_id,10 1
champions_news_win_comment,champions_news_win_comment_0_round_id,1577 316
campaign_walking_location,,313
story_extra_event_movie,,7
single_mode_difficulty_box_reward,single_mode_difficulty_box_reward_0_box_id,65 13
single_mode_route,single_mode_route_0_scenario_id_1_race_set_id,140 35 1
single_mode_route,single_mode_route_0_scenario_id_1_chara_id,140 35 1
single_mode_route,single_mode_route_0_scenario_id,140 35
succession_rental,succession_rental_0_rental_rank_1_rental_num,7450 25 1
heroes_skill,heroes_skill_0_skill_id,7 1
gacha_stepup,gacha_stepup_0_stepup_id,40 5
gacha_stepup,gacha_stepup_0_stepup_id_1_stepup_step,40 5 1
gacha_stepup,gacha_stepup_0_target_gacha_id,40 1
champions_evaluation_rate,,16
training_report_special_reward,training_report_special_reward_0_reward_set,901 226
campaign_walking_reward_set,campaign_walking_reward_set_0_reward_set_id,66 6
story_event_story_data,story_event_story_data_0_story_event_id,436 9
story_event_story_data,story_event_story_data_0_story_event_id_1_episode_index_id,436 9 1
single_mode_14_outing_effect,,25
omakase_modify_pt,omakase_modify_pt_0_modify_id,111 7
single_mode_arc_win_pt,single_mode_arc_win_pt_0_grade,122 13
single_mode_arc_win_pt,single_mode_arc_win_pt_0_race_instance_id,122 14
mission_race_scenario_group,mission_race_scenario_group_0_race_instance_id,5 1
collect_raid_staging_mini_chara,collect_raid_staging_mini_chara_0_staging_mini_chara_group_id_1_staging_type,51 13 3
collect_raid_staging_mini_chara,collect_raid_staging_mini_chara_0_staging_mini_chara_group_id,51 13
champions_round_detail,champions_round_detail_0_champions_id_1_league_type,644 14 7
team_building_win_reward,,2
mini_bg,mini_bg_0_scene_type,36 6
single_mode_cook_cooking_rate,single_mode_cook_cooking_rate_0_dish_type,112 28
rating_race_weekend_reward,,9
heroes_stage_schedule,heroes_stage_schedule_0_heroes_id_1_stage_2_stage_step,105 7 3 1
heroes_stage_schedule,heroes_stage_schedule_0_heroes_id,105 7
champions_round_schedule,champions_round_schedule_0_champions_id_1_round,276 6 2
champions_round_schedule,champions_round_schedule_0_champions_id,276 6
deck_recommend_exception,,89
team_building_chara_group,team_building_chara_group_0_chara_group_id,76 2
main_story_data,main_story_data_0_part_id,169 17
main_story_data,sqlite_autoindex_main_story_data_1,169 1
omakase_base_pt,omakase_base_pt_0_command_id,600 10
single_mode_cook_dish_cutt_se,single_mode_cook_dish_cutt_se_0_chara_type_1_command_group_id,66 11 1
single_mode_cook_dish_cutt_se,single_mode_cook_dish_cutt_se_0_chara_type,66 11
single_mode_cook_dish_cutt_se,single_mode_cook_dish_cutt_se_0_command_group_id,66 4
single_mode_route_race,single_mode_route_race_0_race_set_id,1792 13
gacha_top_bg,gacha_top_bg_0_gacha_id,670 1
champions_news_chara_comment,champions_news_chara_comment_0_round_id,1708 342
champions_schedule,,46
jobs_genre,,36
deck_recommend_organize,deck_recommend_organize_0_distance_type,5 1
team_building_race_npc,,608
team_stadium_score_bonus,team_stadium_score_bonus_0_condition_type,7 2
gift_message,,176
single_mode_12_spa_ticket,single_mode_12_spa_ticket_0_type_id_1_chara_id,12 4 2
race_proper_runningstyle_rate,,9
highlight_interpolate,,3
story_event_mission_top_chara,story_event_mission_top_chara_0_story_event_id,108 2
story_event_mission,story_event_mission_0_item_category,2338 390
story_event_mission,story_event_mission_0_story_event_id,2338 44
omakase_outing_base_pt,omakase_outing_base_pt_0_scenario_id_1_chara_id,15 4 3
omakase_outing_base_pt,omakase_outing_base_pt_0_scenario_id,15 4
single_mode_10_sprace,single_mode_10_sprace_0_race_group_id,3 1
succession_relation_member,succession_relation_member_0_chara_id,7249 56
item_exchange_top,item_exchange_top_0_item_top_category,95 32
heroes_ranking_reward,heroes_ranking_reward_0_heroes_id_1_heroes_ranking_border_id,40 20 3
heroes_league_rank,heroes_league_rank_0_league_rank,16 1
system_voice_standby_motion,,1
jobs_place,,14
crane_game_catch_result,sqlite_autoindex_crane_game_catch_result_1,68 3 1
name_card_bg,,150
training_cutt_chara_data,training_cutt_chara_data_0_command_id_1_sub_id,528 14 14
story_event_top_chara,story_event_top_chara_0_story_event_id,682 13
omakase_condition_set,omakase_condition_set_0_condition_set_id,91 2
single_mode_race_limit_reward,,1
single_mode_wins_saddle,,214
heroes_race_default_user,,63
skill_upgrade_succession_skill,skill_upgrade_succession_skill_0_base_skill_id,2 1
skill_upgrade_succession_skill,sqlite_autoindex_skill_upgrade_succession_skill_1,2 1
audio_story_effect,audio_story_effect_0_effect_name,18 1
omakase_stopper_event,omakase_stopper_event_0_story_id,20 1
omakase_stopper_event,omakase_stopper_event_0_scenario_id,20 2
single_mode_free_shop_item,single_mode_free_shop_item_0_item_id,53 1
home_poster_data,home_poster_data_0_pos_index,103 35
home_poster_data,home_poster_data_0_priority,103 18
card_talent_upgrade_money_num,card_talent_upgrade_money_num_0_talent_level,6 1
story_race_track_bg_replace,story_race_track_bg_replace_0_bg_group_id,8 2
story_race_track_bg_replace,story_race_track_bg_replace_0_bg_id_1_bg_sub_id,8 2 2
story_race_track_bg_replace,story_race_track_bg_replace_0_bg_group_id_1_race_track_id,8 2 1
story_race_track_bg_replace,sqlite_autoindex_story_race_track_bg_replace_1,8 3 1 1
single_mode_14_finals_gain_skill,,3
single_mode_cook_success_odds,,8
single_mode_aoharu_result_cutt,single_mode_aoharu_result_cutt_0_chara_id,6 2
race_bgm_cutin,race_bgm_cutin_0_card_id_1_bgm_group_id,8 1 1
race_bgm_cutin,race_bgm_cutin_0_bgm_group_id,8 2
race_bgm_cutin,race_bgm_cutin_0_card_id,8 1
home_eat,home_eat_0_chara_id_1_event_type,308 3 3
home_eat,home_eat_0_chara_id,308 3
support_card_group,support_card_group_0_chara_id,18 2
support_card_group,support_card_group_0_support_card_id,18 4
single_mode_12_ryokan_rank,,5
single_mode_arc_training_eff,,31
single_mode_chara_grade,,10
race_fence_set,,120
race_course_set,race_course_set_0_race_track_id,140 9
live_fix_member_data,live_fix_member_data_0_music_id,3 2
jukebox_motion_data,jukebox_motion_data_0_song_type,16 3
home_event_schedule,home_event_schedule_0_event_footer_type,19 10
home_event_schedule,home_event_schedule_0_event_walk_type,19 7
home_event_schedule,home_event_schedule_0_event_story_type,19 10
home_character_type,sqlite_autoindex_home_character_type_1,26 7 1
gacha_exchange,gacha_exchange_0_gacha_id,1868 5
gacha_exchange,sqlite_autoindex_gacha_exchange_1,1868 5 1
card_talent_level_upgrade_money,card_talent_level_upgrade_money_0_talent_level_1_upgrade_talent_level,21 4 1
nickname,nickname_0_user_show,391 196
random_ear_tail_motion,random_ear_tail_motion_0_parts_type,27 14
training_challenge_ranking_reward,training_challenge_ranking_reward_0_training_challenge_ranking_border_id,8 1
